layer,row,col,value
fc1,52,0,-0.104293
fc1,52,1,0.0547093
fc1,52,2,0.0417205
fc1,52,3,-0.0619817
fc1,52,4,-0.00919525
fc1,52,5,0.0447515
fc1,52,6,-0.0955018
fc1,52,7,-0.136356
fc1,52,8,-0.0414907
fc1,52,9,0.075533
fc1,52,10,0.179272
fc1,53,0,-0.274869
fc1,53,1,0.189755
fc1,53,2,-0.276942
fc1,53,3,-0.141346
fc1,53,4,-0.0922358
fc1,53,5,0.171967
fc1,53,6,0.101063
fc1,53,7,-0.1193
fc1,53,8,-0.160983
fc1,53,9,-0.187315
fc1,53,10,0.165585
fc1,54,0,0.066401
fc1,54,1,0.186366
fc1,54,2,0.120558
fc1,54,3,-0.0231785
fc1,54,4,-0.114865
fc1,54,5,-0.128656
fc1,54,6,-0.146209
fc1,54,7,0.0229357
fc1,54,8,0.157516
fc1,54,9,0.0840837
fc1,54,10,-0.0142857
fc1,55,0,0.190422
fc1,55,1,-0.080468
fc1,55,2,0.091946
fc1,55,3,0.0771805
fc1,55,4,0.042237
fc1,55,5,0.109959
fc1,55,6,0.0517823
fc1,55,7,0.135103
fc1,55,8,0.112127
fc1,55,9,0.226994
fc1,55,10,-0.106958
fc1,56,0,-0.19263
fc1,56,1,0.107373
fc1,56,2,0.0905402
fc1,56,3,0.108508
fc1,56,4,0.222001
fc1,56,5,0.0930523
fc1,56,6,0.111644
fc1,56,7,-0.242546
fc1,56,8,-0.313264
fc1,56,9,0.0823485
fc1,56,10,0.156188
fc1,57,0,-0.026792
fc1,57,1,-0.00953675
fc1,57,2,0.126999
fc1,57,3,0.0956652
fc1,57,4,0.046912
fc1,57,5,-0.032207
fc1,57,6,0.0974882
fc1,57,7,0.119177
fc1,57,8,-0.0882955
fc1,57,9,-0.260647
fc1,57,10,-0.134513
fc1,58,0,0.0331402
fc1,58,1,0.0963673
fc1,58,2,0.129144
fc1,58,3,-0.0367845
fc1,58,4,0.342326
fc1,58,5,-0.117457
fc1,58,6,0.15503
fc1,58,7,-0.218354
fc1,58,8,0.0274215
fc1,58,9,0.30824
fc1,58,10,-0.12226
fc1,59,0,-0.153226
fc1,59,1,0.0209307
fc1,59,2,0.195551
fc1,59,3,0.0848505
fc1,59,4,-0.0274903
fc1,59,5,-0.217783
fc1,59,6,0.0770692
fc1,59,7,-0.179317
fc1,59,8,-0.119412
fc1,59,9,0.250969
fc1,59,10,0.230626
fc1,60,0,0.0312765
fc1,60,1,-0.230627
fc1,60,2,-0.010212
fc1,60,3,-0.0762967
fc1,60,4,0.0552862
fc1,60,5,0.199321
fc1,60,6,-0.00259
fc1,60,7,0.0102382
fc1,60,8,0.127041
fc1,60,9,-0.00975075
fc1,60,10,0.128333
fc1,61,0,0.207451
fc1,61,1,-0.037925
fc1,61,2,-0.0537225
fc1,61,3,0.0707088
fc1,61,4,-0.051344
fc1,61,5,-0.0305177
fc1,61,6,-0.0742185
fc1,61,7,-0.131381
fc1,61,8,0.263974
fc1,61,9,-0.249891
fc1,61,10,-0.0029685
fc1,62,0,-0.294582
fc1,62,1,0.261564
fc1,62,2,-0.125739
fc1,62,3,-0.14899
fc1,62,4,0.0624127
fc1,62,5,-0.10233
fc1,62,6,0.175384
fc1,62,7,0.130297
fc1,62,8,-0.238264
fc1,62,9,0.0485075
fc1,62,10,0.039622
fc1,63,0,-0.0698335
fc1,63,1,0.131534
fc1,63,2,0.0042025
fc1,63,3,0.0148537
fc1,63,4,-0.0836313
fc1,63,5,0.139142
fc1,63,6,0.108488
fc1,63,7,-0.203809
fc1,63,8,0.0410442
fc1,63,9,0.0870225
fc1,63,10,-0.0233993
fc1,64,0,-0.109334
