layer,row,col,value
fc1,58,3,-0.153352
fc1,58,4,0.383916
fc1,58,5,-0.12965
fc1,58,6,0.150971
fc1,58,7,-0.257311
fc1,58,8,0.07572
fc1,58,9,0.339857
fc1,58,10,-0.220574
fc1,59,0,-0.299104
fc1,59,1,-0.035442
fc1,59,2,0.219299
fc1,59,3,0.037135
fc1,59,4,-0.134633
fc1,59,5,-0.214957
fc1,59,6,0.098395
fc1,59,7,-0.260925
fc1,59,8,-0.169591
fc1,59,9,0.317682
fc1,59,10,0.250477
fc1,60,0,0.011284
fc1,60,1,-0.23436
fc1,60,2,0.019296
fc1,60,3,-0.187497
fc1,60,4,0.170795
fc1,60,5,0.22582
fc1,60,6,-0.10173
fc1,60,7,0.084477
fc1,60,8,0.233408
fc1,60,9,-0.031382
fc1,60,10,0.197877
fc1,61,0,0.223602
fc1,61,1,-0.13574
fc1,61,2,-0.035432
fc1,61,3,0.152129
fc1,61,4,-0.099316
fc1,61,5,0.025795
fc1,61,6,-0.077526
fc1,61,7,-0.13322
fc1,61,8,0.290133
fc1,61,9,-0.236734
fc1,61,10,-0.008824
fc1,62,0,-0.332863
fc1,62,1,0.267068
fc1,62,2,-0.24575
fc1,62,3,-0.211143
fc1,62,4,0.071403
fc1,62,5,-0.164901
fc1,62,6,0.13906
fc1,62,7,0.222439
fc1,62,8,-0.265312
fc1,62,9,0.100712
fc1,62,10,-0.000939
fc1,63,0,-0.135874
fc1,63,1,0.163202
fc1,63,2,0.103672
fc1,63,3,0.069212
fc1,63,4,-0.119966
fc1,63,5,0.092157
fc1,63,6,0.208777
fc1,63,7,-0.219937
fc1,63,8,0.151112
fc1,63,9,0.090927
fc1,63,10,0.025594
fc1,64,0,-0.199386
fc1,64,1,0.284261
fc1,64,2,0.254463
fc1,64,3,-0.026711
fc1,64,4,0.181815
fc1,64,5,-0.046702
fc1,64,6,0.038108
fc1,64,7,-0.339791
fc1,64,8,0.077148
fc1,64,9,0.355539
fc1,64,10,0.296822
fc1,65,0,0.053553
fc1,65,1,-0.249632
fc1,65,2,-0.220404
fc1,65,3,-0.222161
fc1,65,4,0.144478
fc1,65,5,0.255882
fc1,65,6,-0.114308
fc1,65,7,0.25388
fc1,65,8,0.042856
fc1,65,9,0.159266
fc1,65,10,0.121943
fc1,66,0,-0.225921
fc1,66,1,0.15668
fc1,66,2,0.005876
fc1,66,3,-0.027673
fc1,66,4,0.123061
fc1,66,5,-0.213871
fc1,66,6,-0.035143
fc1,66,7,-0.284684
fc1,66,8,-0.262858
